Entity,Code,Year,Life expectancy - Sex: all - Age: 0 - Variant: estimates,"GDP per capita, PPP (constant 2021 international $)",Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2023,66.035,1983.8126,41454762,Asia,2023,2023,2023,2023
Albania,ALB,2023,79.602,17991.016,2811660,Europe,2023,2023,2023,2023
Algeria,DZA,2023,76.261,15159.324,46164222,Africa,2023,2023,2023,2023
Andorra,AND,2023,84.041,64631.297,80869,Europe,2023,2023,2023,2023
Angola,AGO,2023,64.617,7250.403,36749909,Africa,2023,2023,2023,2023
Antigua and Barbuda,ATG,2023,77.598,28474.045,93331,North America,2023,2023,2023,2023
Argentina,ARG,2023,77.395,27104.98,45538402,South America,2023,2023,2023,2023
Armenia,ARM,2023,75.683,19402.752,2943398,Asia,2023,2023,2023,2023
Aruba,ABW,2023,76.353,40516.81,107946,North America,2023,2023,2023,2023
Australia,AUS,2023,83.923,60461.156,26451126,Oceania,2023,2023,2023,2023
Austria,AUT,2023,81.956,64394.09,9130434,Europe,2023,2023,2023,2023
Azerbaijan,AZE,2023,74.429,21310.738,10318209,Asia,2023,2023,2023,2023
Bahamas,BHS,2023,74.552,35221.31,399452,North America,2023,2023,2023,2023
Bahrain,BHR,2023,81.284,57819.906,1569674,Asia,2023,2023,2023,2023
Bangladesh,BGD,2023,74.672,8242.398,171466986,Asia,2023,2023,2023,2023
Barbados,BRB,2023,76.178,19224.463,282347,North America,2023,2023,2023,2023
Belarus,BLR,2023,74.434,27782.438,9115679,Europe,2023,2023,2023,2023
Belgium,BEL,2023,82.115,62920.645,11712891,Europe,2023,2023,2023,2023
Belize,BLZ,2023,73.566,12455.296,411112,North America,2023,2023,2023,2023
Benin,BEN,2023,60.774,3721.2126,14111035,Africa,2023,2023,2023,2023
Bermuda,BMU,2023,82.309,103052.35,64721,North America,2023,2023,2023,2023
Bhutan,BTN,2023,72.975,14645.266,786386,Asia,2023,2023,2023,2023
Bolivia,BOL,2023,68.581,9843.97,12244161,South America,2023,2023,2023,2023
Bosnia and Herzegovina,BIH,2023,77.85,19803.846,3185072,Europe,2023,2023,2023,2023
Botswana,BWA,2023,69.163,18932.48,2480242,Africa,2023,2023,2023,2023
Brazil,BRA,2023,75.848,19079.812,211140731,South America,2023,2023,2023,2023
Brunei,BRN,2023,75.327,76616.7,458959,Asia,2023,2023,2023,2023
Bulgaria,BGR,2023,75.636,33139.938,6795805,Europe,2023,2023,2023,2023
Burkina Faso,BFA,2023,61.092,2482.0723,23025777,Africa,2023,2023,2023,2023
Burundi,BDI,2023,63.651,828.58295,13689455,Africa,2023,2023,2023,2023
Cambodia,KHM,2023,70.668,6695.292,17423884,Asia,2023,2023,2023,2023
Cameroon,CMR,2023,63.7,4870.571,28372690,Africa,2023,2023,2023,2023
Canada,CAN,2023,82.63,57517.44,39299098,North America,2023,2023,2023,2023
Cape Verde,CPV,2023,76.059,9280.9795,522335,Africa,2023,2023,2023,2023
Cayman Islands,CYM,2023,80.358,78109.35,73055,North America,2023,2023,2023,2023
Central African Republic,CAF,2023,57.408,1132.6764,5152415,Africa,2023,2023,2023,2023
Chad,TCD,2023,55.069,2641.4329,19319075,Africa,2023,2023,2023,2023
Chile,CHL,2023,81.167,29563.678,19658833,South America,2023,2023,2023,2023
China,CHN,2023,77.953,22687.076,1422584930,Asia,2023,2023,2023,2023
Colombia,COL,2023,77.725,18382.998,52321152,South America,2023,2023,2023,2023
Comoros,COM,2023,66.777,3516.4817,850390,Africa,2023,2023,2023,2023
Congo,COG,2023,65.772,6172.2876,6182890,Africa,2023,2023,2023,2023
Costa Rica,CRI,2023,80.799,25979.629,5105526,North America,2023,2023,2023,2023
Cote d'Ivoire,CIV,2023,61.944,6511.751,31165653,Africa,2023,2023,2023,2023
Croatia,HRV,2023,78.58,41135.086,3896023,Europe,2023,2023,2023,2023
Curacao,CUW,2023,76.8,27675.572,185437,North America,2023,2023,2023,2023
Cyprus,CYP,2023,81.648,52190.875,1344981,Europe,2023,2023,2023,2023
Czechia,CZE,2023,79.834,47509.523,10809722,Europe,2023,2023,2023,2023
Democratic Republic of Congo,COD,2023,61.895,1456.4824,105789733,Africa,2023,2023,2023,2023
Denmark,DNK,2023,81.933,71454.52,5948134,Europe,2023,2023,2023,2023
Djibouti,DJI,2023,65.987,6545.1035,1152951,Africa,2023,2023,2023,2023
Dominica,DMA,2023,71.132,18278.225,66531,North America,2023,2023,2023,2023
Dominican Republic,DOM,2023,73.72,23282.49,11331269,North America,2023,2023,2023,2023
East Timor,TLS,2023,67.689,4330.464,1384292,Asia,2023,2023,2023,2023
Ecuador,ECU,2023,77.392,14343.019,17980079,South America,2023,2023,2023,2023
Egypt,EGY,2023,71.633,16691.387,114535772,Africa,2023,2023,2023,2023
El Salvador,SLV,2023,72.099,11424.6455,6309629,North America,2023,2023,2023,2023
Equatorial Guinea,GNQ,2023,63.707,15688.238,1847556,Africa,2023,2023,2023,2023
Estonia,EST,2023,79.153,41706.52,1367195,Europe,2023,2023,2023,2023
Eswatini,SWZ,2023,64.123,10201.638,1230507,Africa,2023,2023,2023,2023
Ethiopia,ETH,2023,67.315,2757.9592,128691695,Africa,2023,2023,2023,2023
Faroe Islands,FRO,2023,80.179,70428.96,54738,Europe,2023,2023,2023,2023
Fiji,FJI,2023,67.316,13652.491,924150,Oceania,2023,2023,2023,2023
Finland,FIN,2023,81.91,56246.44,5601185,Europe,2023,2023,2023,2023
France,FRA,2023,83.325,54017.875,66438828,Europe,2023,2023,2023,2023
Gabon,GAB,2023,68.337,18702.691,2484790,Africa,2023,2023,2023,2023
Gambia,GMB,2023,65.86,2932.2805,2697846,Africa,2023,2023,2023,2023
Georgia,GEO,2023,74.496,22590.53,3807494,Asia,2023,2023,2023,2023
Germany,DEU,2023,81.378,62686.54,84548233,Europe,2023,2023,2023,2023
Ghana,GHA,2023,65.498,6808.5376,33787916,Africa,2023,2023,2023,2023
Greece,GRC,2023,81.857,36854.504,10242910,Europe,2023,2023,2023,2023
Greenland,GRL,2023,70.055,71037.54,55951,North America,2023,2023,2023,2023
Grenada,GRD,2023,75.205,17128.697,117094,North America,2023,2023,2023,2023
Guatemala,GTM,2023,72.602,12384.948,18124841,North America,2023,2023,2023,2023
Guinea,GIN,2023,60.74,3904.824,14405469,Africa,2023,2023,2023,2023
Guinea-Bissau,GNB,2023,64.085,2619.4136,2153343,Africa,2023,2023,2023,2023
Guyana,GUY,2023,70.18,49312.36,826357,South America,2023,2023,2023,2023
Haiti,HTI,2023,64.936,2956.4622,11637402,North America,2023,2023,2023,2023
Honduras,HND,2023,72.884,6467.88,10644853,North America,2023,2023,2023,2023
Hong Kong,HKG,2023,85.511,64428.73,7442738,Asia,2023,2023,2023,2023
Hungary,HUN,2023,77.024,40368.59,9686465,Europe,2023,2023,2023,2023
Iceland,ISL,2023,82.691,67177.2,387559,Europe,2023,2023,2023,2023
India,IND,2023,72.003,9301.756,1438069597,Asia,2023,2023,2023,2023
Indonesia,IDN,2023,71.146,13889.975,281190068,Asia,2023,2023,2023,2023
Iran,IRN,2023,77.654,15912.03,90608708,Asia,2023,2023,2023,2023
Iraq,IRQ,2023,72.324,13202.323,45074055,Asia,2023,2023,2023,2023
Ireland,IRL,2023,82.412,115505.336,5196629,Europe,2023,2023,2023,2023
Israel,ISR,2023,82.408,47527.152,9256311,Asia,2023,2023,2023,2023
Italy,ITA,2023,83.716,52725.746,59499452,Europe,2023,2023,2023,2023
Jamaica,JAM,2023,71.479,10332.055,2839785,North America,2023,2023,2023,2023
Japan,JPN,2023,84.712,45858.66,124370947,Asia,2023,2023,2023,2023
Jordan,JOR,2023,77.814,9381.3545,11439220,Asia,2023,2023,2023,2023
Kazakhstan,KAZ,2023,74.402,34703.234,20330109,Asia,2023,2023,2023,2023
Kenya,KEN,2023,63.646,5682.9893,55339007,Africa,2023,2023,2023,2023
Kiribati,KIR,2023,66.473,3140.5833,132540,Oceania,2023,2023,2023,2023
Kosovo,OWID_KOS,2023,78.033,14240.203,1700039,Europe,2023,2023,2023,2023
Kuwait,KWT,2023,80.405,47777.402,4838781,Asia,2023,2023,2023,2023
Kyrgyzstan,KGZ,2023,71.677,6575.7754,7073523,Asia,2023,2023,2023,2023
Laos,LAO,2023,68.964,8372.156,7665001,Asia,2023,2023,2023,2023
Latvia,LVA,2023,76.19,38796.55,1882399,Europe,2023,2023,2023,2023
Lebanon,LBN,2023,77.817,11330.269,5773494,Asia,2023,2023,2023,2023
Lesotho,LSO,2023,57.375,2595.8296,2311476,Africa,2023,2023,2023,2023
Liberia,LBR,2023,62.163,1616.9237,5493035,Africa,2023,2023,2023,2023
Libya,LBY,2023,69.339,12478.144,7305659,Africa,2023,2023,2023,2023
Lithuania,LTU,2023,76.025,46159.707,2854104,Europe,2023,2023,2023,2023
Luxembourg,LUX,2023,82.229,129021.65,665101,Europe,2023,2023,2023,2023
Macao,MAC,2023,83.075,104961.92,713916,Asia,2023,2023,2023,2023
Madagascar,MDG,2023,63.632,1629.4609,31195937,Africa,2023,2023,2023,2023
Malawi,MWI,2023,67.353,1648.4365,21104480,Africa,2023,2023,2023,2023
Malaysia,MYS,2023,76.657,32812.3,35126295,Asia,2023,2023,2023,2023
Maldives,MDV,2023,81.041,22286.98,526009,Asia,2023,2023,2023,2023
Mali,MLI,2023,60.439,2854.8271,23769130,Africa,2023,2023,2023,2023
Malta,MLT,2023,83.299,59293.297,532964,Europe,2023,2023,2023,2023
Marshall Islands,MHL,2023,66.945,6786.696,38849,Oceania,2023,2023,2023,2023
Mauritania,MRT,2023,68.484,6258.711,5022442,Africa,2023,2023,2023,2023
Mauritius,MUS,2023,74.926,26060.732,1273591,Africa,2023,2023,2023,2023
Mexico,MEX,2023,75.069,21905.178,129739761,North America,2023,2023,2023,2023
Micronesia (country),FSM,2023,67.198,3814.1697,112646,Oceania,2023,2023,2023,2023
Moldova,MDA,2023,71.198,15990.4795,3067072,Europe,2023,2023,2023,2023
Mongolia,MNG,2023,71.734,16222.864,3431938,Asia,2023,2023,2023,2023
Montenegro,MNE,2023,77.087,27043.328,633553,Europe,2023,2023,2023,2023
Morocco,MAR,2023,75.313,8868.712,37712516,Africa,2023,2023,2023,2023
Mozambique,MOZ,2023,63.611,1511.6365,33635163,Africa,2023,2023,2023,2023
Myanmar,MMR,2023,66.889,5364.138,54133800,Asia,2023,2023,2023,2023
Namibia,NAM,2023,67.385,10137.673,2963102,Africa,2023,2023,2023,2023
Nauru,NRU,2023,62.109,12461.136,11900,Oceania,2023,2023,2023,2023
Nepal,NPL,2023,70.354,4861.2305,29694614,Asia,2023,2023,2023,2023
Netherlands,NLD,2023,82.158,70673.97,18092526,Europe,2023,2023,2023,2023
New Zealand,NZL,2023,82.088,49083.508,5172837,Oceania,2023,2023,2023,2023
Nicaragua,NIC,2023,74.947,7496.5293,6823619,North America,2023,2023,2023,2023
Niger,NER,2023,61.183,1689.5642,26159863,Africa,2023,2023,2023,2023
Nigeria,NGA,2023,54.462,5593.0566,227882949,Africa,2023,2023,2023,2023
North Macedonia,MKD,2023,77.395,23343.602,1831800,Europe,2023,2023,2023,2023
Norway,NOR,2023,83.308,90085.555,5519167,Europe,2023,2023,2023,2023
Oman,OMN,2023,80.031,37709.066,5049267,Asia,2023,2023,2023,2023
Pakistan,PAK,2023,67.649,5439.1797,247504505,Asia,2023,2023,2023,2023
Palau,PLW,2023,69.269,15796.535,17751,Oceania,2023,2023,2023,2023
Palestine,PSE,2023,65.17,5361.131,5409201,Asia,2023,2023,2023,2023
Panama,PAN,2023,79.594,35863.88,4458758,North America,2023,2023,2023,2023
Papua New Guinea,PNG,2023,66.134,4205.8477,10389638,Oceania,2023,2023,2023,2023
Paraguay,PRY,2023,73.844,15826.088,6844150,South America,2023,2023,2023,2023
Peru,PER,2023,77.74,15327.582,33845616,South America,2023,2023,2023,2023
Philippines,PHL,2023,69.833,9898.533,114891199,Asia,2023,2023,2023,2023
Poland,POL,2023,78.633,43672.766,38762847,Europe,2023,2023,2023,2023
Portugal,PRT,2023,82.36,41571.02,10430735,Europe,2023,2023,2023,2023
Puerto Rico,PRI,2023,81.69,42738.645,3242022,North America,2023,2023,2023,2023
Qatar,QAT,2023,82.368,116159.14,2979086,Asia,2023,2023,2023,2023
Romania,ROU,2023,75.938,40301.5,19118482,Europe,2023,2023,2023,2023
Russia,RUS,2023,73.154,39887.34,145440502,Europe,2023,2023,2023,2023
Rwanda,RWA,2023,67.785,3062.999,13954473,Africa,2023,2023,2023,2023
Saint Kitts and Nevis,KNA,2023,72.145,30966.332,46783,North America,2023,2023,2023,2023
Saint Lucia,LCA,2023,72.697,23403.744,179291,North America,2023,2023,2023,2023
Saint Vincent and the Grenadines,VCT,2023,71.23,17858.244,101331,North America,2023,2023,2023,2023
Samoa,WSM,2023,71.698,6340.608,216673,Oceania,2023,2023,2023,2023
Sao Tome and Principe,STP,2023,69.718,5541.302,230882,Africa,2023,2023,2023,2023
Saudi Arabia,SAU,2023,78.732,64481.844,33264289,Asia,2023,2023,2023,2023
Senegal,SEN,2023,68.683,4304.7617,18077573,Africa,2023,2023,2023,2023
Serbia,SRB,2023,76.769,25740.203,6773204,Europe,2023,2023,2023,2023
Seychelles,SYC,2023,72.862,28635.355,127961,Africa,2023,2023,2023,2023
Sierra Leone,SLE,2023,61.786,3037.6765,8460523,Africa,2023,2023,2023,2023
Singapore,SGP,2023,83.736,129555.24,5789092,Asia,2023,2023,2023,2023
Sint Maarten (Dutch part),SXM,2023,76.371,44894.695,42775,North America,2023,2023,2023,2023
Slovakia,SVK,2023,78.341,39497.535,5518057,Europe,2023,2023,2023,2023
Slovenia,SVN,2023,81.603,47868.387,2118394,Europe,2023,2023,2023,2023
Solomon Islands,SLB,2023,70.528,2523.619,800014,Oceania,2023,2023,2023,2023
Somalia,SOM,2023,58.816,1402.47,18358622,Africa,2023,2023,2023,2023
South Africa,ZAF,2023,66.139,13690.39,63212386,Africa,2023,2023,2023,2023
South Korea,KOR,2023,84.329,50414.207,51748744,Asia,2023,2023,2023,2023
Spain,ESP,2023,83.67,47341.17,47911583,Europe,2023,2023,2023,2023
Sri Lanka,LKA,2023,77.483,13024.94,22971615,Asia,2023,2023,2023,2023
Sudan,SDN,2023,66.331,2181.079,50042800,Africa,2023,2023,2023,2023
Suriname,SUR,2023,73.631,19043.705,628892,South America,2023,2023,2023,2023
Sweden,SWE,2023,83.262,62845.484,10551493,Europe,2023,2023,2023,2023
Switzerland,CHE,2023,83.954,82302.05,8870564,Europe,2023,2023,2023,2023
Syria,SYR,2023,72.12,4189.8374,23594623,Asia,2023,2023,2023,2023
Tajikistan,TJK,2023,71.79,4472.324,10389807,Asia,2023,2023,2023,2023
Tanzania,TZA,2023,66.995,3620.7935,66617607,Africa,2023,2023,2023,2023
Thailand,THA,2023,76.412,21191.453,71702436,Asia,2023,2023,2023,2023
Togo,TGO,2023,62.739,2767.5166,9304346,Africa,2023,2023,2023,2023
Tonga,TON,2023,72.895,7075.556,104613,Oceania,2023,2023,2023,2023
Trinidad and Tobago,TTO,2023,73.49,31193.916,1502938,North America,2023,2023,2023,2023
Tunisia,TUN,2023,76.508,12622.96,12200434,Africa,2023,2023,2023,2023
Turkey,TUR,2023,77.156,34282.535,87270502,Asia,2023,2023,2023,2023
Turkmenistan,TKM,2023,70.073,17866.404,7364437,Asia,2023,2023,2023,2023
Turks and Caicos Islands,TCA,2023,78.008,31839.371,46221,North America,2023,2023,2023,2023
Tuvalu,TUV,2023,67.105,5812.3994,9837,Oceania,2023,2023,2023,2023
Uganda,UGA,2023,68.252,2791.0557,48656606,Africa,2023,2023,2023,2023
Ukraine,UKR,2023,73.422,15916.958,37732833,Europe,2023,2023,2023,2023
United Arab Emirates,ARE,2023,82.909,68577.54,10642089,Asia,2023,2023,2023,2023
United Kingdom,GBR,2023,81.302,52502.914,68682965,Europe,2023,2023,2023,2023
United States,USA,2023,79.304,74158.72,343477330,North America,2023,2023,2023,2023
Uruguay,URY,2023,78.138,31059.254,3388083,South America,2023,2023,2023,2023
Uzbekistan,UZB,2023,72.388,10007.686,35652311,Asia,2023,2023,2023,2023
Vanuatu,VUT,2023,71.477,3118.396,320422,Oceania,2023,2023,2023,2023
Vietnam,VNM,2023,74.588,13545.935,100352189,Asia,2023,2023,2023,2023
Zambia,ZMB,2023,66.349,3673.4841,20723967,Africa,2023,2023,2023,2023
Zimbabwe,ZWE,2023,62.775,3442.2488,16340829,Africa,2023,2023,2023,2023